Loading,SSA,DP,TPV,D_M,PE_M,FIE_M,MR_M,EA_M,WF_M,AN_M,BM_M,MP_M,MP_S,Temp,Time,C_wt,P,SV,conver,selec
18.09,260.72,6.36,0.45,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,375,,50,0.1,1.9,96.03,42.64
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,6,300,,,90.48,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,12,300,,,82.28,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,20,300,,,80.6,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,30,300,,,77.1,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,45,300,,,62.89,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,60,300,,,51.2,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,370,76,300,,,48.55,
0.99,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,390,,300,,,77.23,
1.06,,,,,2.28,9,139,2.13,5.65,78,230,1768,2400,290,,300,,,32.02,
0.5,680,7.04,1.27,1.55,2.28,9,139,2.13,5.65,78,230,1768,2072,350,,200,0.1,6,80.2,100
9.76,88.927,14.543,0.198,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,350,,500,0.1,0.05,28.78,93.8
20,359,13.99,,2.13,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,300,600,0.1,4,77.4,85.6
20,359,13.99,,2.13,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,1200,600,0.1,4,76.83,85.6
20,359,13.99,,2.13,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,1740,600,0.1,4,75.8,85.6
20,359,13.99,,2.13,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,1800,600,0.1,4,70.36,85.6
20,133,16.29,,11.24,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,300,600,0.1,4,50.75,70.5
20,133,16.29,,11.24,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,780,600,0.1,4,50.2,70.5
20,133,16.29,,11.24,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,1020,600,0.1,4,38.77,70.5
9.3,316.1,13.5,1.1,20.9,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,,200,4,,29.1,4.27
27.2,254,13.9,0.68,9.3,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,,200,4,,31.9,19.94
52.6,251.7,11.5,0.66,10.8,1.91,7.64,124,1.16,5.15,28,180,1455,2072,450,,200,4,,35.4,22.6
62.3,294,,,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,325,,500,0.1,,81,40
,164,,0.51,2.52,2.28,9,139,2.13,5.65,78,230,1768,2072,300,,2000,0.1,3000,75.2,99.1
,40,,0.32,3.51,2.28,9,139,2.13,5.65,78,230,1768,1843,300,,2000,0.1,3000,67.4,99.9
62.3,315,,,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,250,,500,0.1,18.5,40,30
62.3,315,,,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,300,,500,0.1,18.5,60,45
62.3,315,,,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,325,,500,0.1,18.5,80,50
62.3,315,,,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,350,,500,0.1,18.5,70,40
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,,0.1,,90,99
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,360,,0.1,,98,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,5760,,0.1,,97.66,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,11400,,0.1,,96.68,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,16800,,0.1,,94.84,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,22800,,0.1,,93,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,28800,,0.1,,91.77,98.5
1,302,67,0.52,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,34200,,0.1,,90.55,98.5
0.5,125,110,0.35,1,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,,0.1,,50,99
0.5,125,110,0.35,1,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,,0.1,,80,98.5
0.5,125,110,0.35,1,2.28,9,139,2.13,5.65,78,230,1768,2072,450,,,0.1,,90,97
0.3,220,70,0.62,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,,0.1,,40,99.5
0.3,220,70,0.62,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,380,,,0.1,,70,99
0.3,220,70,0.62,0.65,2.28,9,139,2.13,5.65,78,230,1768,2072,450,,,0.1,,85,97.5
60,176,,,4,1.91,7.64,124,1.16,5.15,28,180,1455,1710,300,,,30,1.8,82.6,84.3
0.6,215,,,1.3,2.28,9,139,2.13,5.65,78,230,1768,2072,275,,,39.5,2,20,25
0.6,215,,,1.3,2.28,9,139,2.13,5.65,78,230,1768,2072,300,,,39.5,2,30,15
0.6,215,,,1.3,2.28,9,139,2.13,5.65,78,230,1768,2072,350,,,39.5,2,50,20
0.6,215,,,1.3,2.28,9,139,2.13,5.65,78,230,1768,2072,400,,,39.5,2,75,30
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,,1.013,3.11,20,90
2,178,,,6.75,2.2,8.34,137,0.56,5.12,46,195,1555,2072,100,,,0.1,,70.3,11.6
2,178,,,6.75,2.2,8.34,137,0.56,5.12,46,195,1555,2072,200,,,0.1,,80.5,9.5
2,178,,,6.75,2.2,8.34,137,0.56,5.12,46,195,1555,2072,300,,,0.1,,5.2,3.4
2,500,,,5.75,2.2,8.34,137,0.56,5.12,46,195,1555,1710,100,,,0.1,,15.5,7.1
2,500,,,5.75,2.2,8.34,137,0.56,5.12,46,195,1555,1710,200,,,0.1,,30,3.4
2,500,,,5.75,2.2,8.34,137,0.56,5.12,46,195,1555,1710,300,,,0.1,,5.3,4.5
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,1.013,3.11,20,90
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,1.013,6.22,30,88
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,1.013,12.44,40,85
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,5,3.11,25,87
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,5,6.22,35,85
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,5,12.44,50,83
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,9,3.11,30,85
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,9,6.22,50,83
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,340,,2010,9,12.44,70,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,1.013,3.11,40,85
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,1.013,6.22,60,82
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,1.013,12.44,75,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,5,3.11,50,83
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,5,6.22,70,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,5,12.44,85,78
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,9,3.11,60,80
1,208,,0.58,,2.28,9,139,2.13,5.65,78,230,1768,2072,360,,2010,9,6.22,80,78
